utt_name,pesq,sdi,stoi,voicemos
/Users/iorife/Downloads/sorted-wavs/female-Ab-fourteen.wav,3.9704466,0.30018687,0.9400923,3.241892
/Users/iorife/Downloads/sorted-wavs/female-Ab-nine.wav,4.0138097,0.30460003,0.9678451,3.476988
/Users/iorife/Downloads/sorted-wavs/female-Ab-one.wav,3.8298128,0.26788878,0.9121441,3.369862
/Users/iorife/Downloads/sorted-wavs/female-Ab-seven.wav,3.476522,0.43627784,0.9048362,3.3374336
/Users/iorife/Downloads/sorted-wavs/female-Ab-six.wav,3.8847675,0.33276254,0.945891,3.1935558
/Users/iorife/Downloads/sorted-wavs/female-Ab-thirteen.wav,4.0956235,0.29109988,0.9399515,3.326712
/Users/iorife/Downloads/sorted-wavs/female-Ab-three.wav,3.800323,0.39169973,0.909359,3.4786603
/Users/iorife/Downloads/sorted-wavs/female-Ab-twelve.wav,4.30866,0.221964,0.9727484,3.813763
/Users/iorife/Downloads/sorted-wavs/female-Ab-two.wav,3.9399338,0.556231,0.9438918,3.3680608
/Users/iorife/Downloads/sorted-wavs/female-Mos-eight.wav,4.0513277,0.29327464,0.93513685,3.5077362
/Users/iorife/Downloads/sorted-wavs/female-Mos-eleven.wav,3.4767363,0.5087091,0.9248156,3.0398374
/Users/iorife/Downloads/sorted-wavs/female-Mos-five.wav,4.004142,0.20076981,0.9084123,3.0151277
/Users/iorife/Downloads/sorted-wavs/female-Mos-four.wav,4.0056405,0.2733091,0.90168875,3.2418075
/Users/iorife/Downloads/sorted-wavs/female-Mos-nine.wav,4.01018,0.47747922,0.9520754,3.913003
/Users/iorife/Downloads/sorted-wavs/female-Mos-one.wav,3.959013,0.41720054,0.93909174,3.5004911
/Users/iorife/Downloads/sorted-wavs/female-Mos-seven.wav,3.764877,0.6009855,0.82195157,3.0384526
/Users/iorife/Downloads/sorted-wavs/female-Mos-six.wav,3.886979,0.3456633,0.94957656,3.293123
/Users/iorife/Downloads/sorted-wavs/female-Mos-ten.wav,3.5516422,0.56169677,0.9433307,3.8113246
/Users/iorife/Downloads/sorted-wavs/female-Mos-three.wav,3.861759,0.36013824,0.91669345,3.1666806
/Users/iorife/Downloads/sorted-wavs/female-Mos-twelve.wav,3.6342642,0.61496025,0.8623879,2.9231658
/Users/iorife/Downloads/sorted-wavs/female-Mos-two.wav,3.9910529,0.4890314,0.94915074,3.370836
/Users/iorife/Downloads/sorted-wavs/female-ab-ref.wav,4.028005,0.3055645,0.92299646,3.4544115
/Users/iorife/Downloads/sorted-wavs/female-ab-ten.wav,3.8961725,0.3140581,0.9249671,3.5579185
/Users/iorife/Downloads/sorted-wavs/female-no-diac/female-Mushra-five.wav,3.6077135,0.3861483,0.9003089,3.4213257
/Users/iorife/Downloads/sorted-wavs/female-no-diac/female-Mushra-four.wav,4.47655,0.15261912,0.99933416,3.4063065
/Users/iorife/Downloads/sorted-wavs/female-no-diac/female-Mushra-one.wav,3.2767646,0.57835925,0.8150128,2.9196002
/Users/iorife/Downloads/sorted-wavs/female-no-diac/female-Mushra-three.wav,4.464282,0.13151793,0.9975338,3.3676457
/Users/iorife/Downloads/sorted-wavs/female-no-diac/female-Mushra-two.wav,2.8814728,0.5457453,0.9080216,2.991921
/Users/iorife/Downloads/sorted-wavs/female/female-Mushra-five.wav,4.0495267,0.26308143,0.93617177,3.616747
/Users/iorife/Downloads/sorted-wavs/female/female-Mushra-four.wav,3.531029,0.570673,0.8912764,3.2691674
/Users/iorife/Downloads/sorted-wavs/female/female-Mushra-one.wav,3.9516902,0.22597498,0.92856026,3.458066
/Users/iorife/Downloads/sorted-wavs/female/female-Mushra-three.wav,3.8996196,0.3537165,0.9045178,3.3090475
/Users/iorife/Downloads/sorted-wavs/female/female-Mushra-two.wav,3.0186477,0.5094445,0.8844867,3.1680803
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-eight.wav,3.9326906,0.33851227,0.9087359,3.1243002
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-eleven.wav,3.716324,0.5909673,0.88837326,3.3859043
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-five.wav,2.9549727,0.64013803,0.90921825,2.66878
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-four.wav,3.9181004,0.29749805,0.9423779,3.593775
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-fourteen.wav,3.3274763,0.6295828,0.92907226,3.2428412
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-nine.wav,3.7948785,0.3030214,0.9417895,3.3447793
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-one.wav,3.794729,0.31997302,0.95050067,3.3852081
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-seven.wav,3.3449593,0.34264642,0.9453377,3.196839
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-six.wav,3.6131098,0.59368277,0.9286269,3.513923
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-thirteen.wav,4.0461326,0.36307132,0.9547351,3.298322
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-three.wav,2.7710986,0.5062971,0.9051217,3.0905876
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-twelve.wav,3.968027,0.16637418,0.9878256,3.3697245
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Ab-two.wav,2.7952495,0.68985087,0.8852763,2.9984899
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-eight.wav,4.1044965,0.14477445,0.93924904,3.5107815
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-eleven.wav,2.2513325,0.94144166,0.87095606,2.6679769
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-five.wav,4.110545,0.26271406,0.9935173,2.8998888
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-four.wav,4.1496735,0.24263158,0.97172713,3.636687
/Users/iorife/Downloads/sorted-wavs/female_no_diac-Mos-nine.wav,3.0008042,0.6911665,0.8503022,3.4364753
